Lot #,Lot URL,Expected Time,Current Time,Status,Note
32,https://dome-auctions.com/administration/auctions/1001/lots/1167/update/,14:06,14:06:00,Updated,Time changed
33,https://dome-auctions.com/administration/auctions/1001/lots/1168/update/,14:06,14:12:00,Updated,Time changed
34,https://dome-auctions.com/administration/auctions/1001/lots/1168/update/,14:06,14:06:00,Updated,Time changed
35,https://dome-auctions.com/administration/auctions/1001/lots/1169/update/,14:06,14:12:00,Updated,Time changed
36,https://dome-auctions.com/administration/auctions/1001/lots/1169/update/,14:07,14:06:00,Updated,Time changed
37,https://dome-auctions.com/administration/auctions/1001/lots/1170/update/,14:07,14:12:00,Updated,Time changed
38,https://dome-auctions.com/administration/auctions/1001/lots/1170/update/,14:07,14:07:00,Updated,Time changed
39,https://dome-auctions.com/administration/auctions/1001/lots/1171/update/,14:07,14:12:00,Updated,Time changed
40,https://dome-auctions.com/administration/auctions/1001/lots/1171/update/,14:07,14:07:00,Updated,Time changed
41,https://dome-auctions.com/administration/auctions/1001/lots/1172/update/,14:08,14:16:00,Updated,Time changed
42,https://dome-auctions.com/administration/auctions/1001/lots/1172/update/,14:08,14:08:00,Updated,Time changed
43,https://dome-auctions.com/administration/auctions/1001/lots/1173/update/,14:08,14:16:00,Updated,Time changed
44,https://dome-auctions.com/administration/auctions/1001/lots/1173/update/,14:08,14:08:00,Updated,Time changed
45,https://dome-auctions.com/administration/auctions/1001/lots/1174/update/,14:08,14:16:00,Updated,Time changed
46,https://dome-auctions.com/administration/auctions/1001/lots/1174/update/,14:09,14:08:00,Updated,Time changed
47,https://dome-auctions.com/administration/auctions/1001/lots/1175/update/,14:09,14:16:00,Updated,Time changed
48,https://dome-auctions.com/administration/auctions/1001/lots/1175/update/,14:09,14:09:00,Updated,Time changed
49,https://dome-auctions.com/administration/auctions/1001/lots/1176/update/,14:09,14:16:00,Updated,Time changed
50,https://dome-auctions.com/administration/auctions/1001/lots/1176/update/,14:09,14:09:00,Updated,Time changed
51,https://dome-auctions.com/administration/auctions/1001/lots/1177/update/,14:10,14:20:00,Updated,Time changed
52,https://dome-auctions.com/administration/auctions/1001/lots/1177/update/,14:10,14:10:00,Updated,Time changed
53,https://dome-auctions.com/administration/auctions/1001/lots/1178/update/,14:10,14:20:00,Updated,Time changed
54,https://dome-auctions.com/administration/auctions/1001/lots/1178/update/,14:10,14:10:00,Updated,Time changed
55,https://dome-auctions.com/administration/auctions/1001/lots/1179/update/,14:10,14:20:00,Updated,Time changed
56,https://dome-auctions.com/administration/auctions/1001/lots/1179/update/,14:11,14:10:00,Updated,Time changed
57,https://dome-auctions.com/administration/auctions/1001/lots/1180/update/,14:11,14:20:00,Updated,Time changed
58,https://dome-auctions.com/administration/auctions/1001/lots/1180/update/,14:11,14:11:00,Updated,Time changed
59,https://dome-auctions.com/administration/auctions/1001/lots/1181/update/,14:11,14:20:00,Updated,Time changed
60,https://dome-auctions.com/administration/auctions/1001/lots/1181/update/,14:11,14:11:00,Updated,Time changed
61,https://dome-auctions.com/administration/auctions/1001/lots/1182/update/,14:12,14:24:00,Updated,Time changed
62,https://dome-auctions.com/administration/auctions/1001/lots/1182/update/,14:12,14:12:00,Updated,Time changed
63,https://dome-auctions.com/administration/auctions/1001/lots/1183/update/,14:12,14:24:00,Updated,Time changed
64,https://dome-auctions.com/administration/auctions/1001/lots/1183/update/,14:12,14:12:00,Updated,Time changed
65,https://dome-auctions.com/administration/auctions/1001/lots/1184/update/,14:12,14:24:00,Updated,Time changed
66,https://dome-auctions.com/administration/auctions/1001/lots/1184/update/,14:13,14:12:00,Updated,Time changed
67,https://dome-auctions.com/administration/auctions/1001/lots/1185/update/,14:13,14:24:00,Updated,Time changed
68,https://dome-auctions.com/administration/auctions/1001/lots/1185/update/,14:13,14:13:00,Updated,Time changed
69,https://dome-auctions.com/administration/auctions/1001/lots/1186/update/,14:13,14:24:00,Updated,Time changed
70,https://dome-auctions.com/administration/auctions/1001/lots/1186/update/,14:13,14:13:00,Updated,Time changed
71,https://dome-auctions.com/administration/auctions/1001/lots/1187/update/,14:14,14:28:00,Updated,Time changed
72,https://dome-auctions.com/administration/auctions/1001/lots/1187/update/,14:14,14:14:00,Updated,Time changed
73,https://dome-auctions.com/administration/auctions/1001/lots/1188/update/,14:14,14:28:00,Updated,Time changed
74,https://dome-auctions.com/administration/auctions/1001/lots/1188/update/,14:14,14:14:00,Updated,Time changed
75,https://dome-auctions.com/administration/auctions/1001/lots/1189/update/,14:14,14:28:00,Updated,Time changed
76,https://dome-auctions.com/administration/auctions/1001/lots/1189/update/,14:15,14:14:00,Updated,Time changed
77,https://dome-auctions.com/administration/auctions/1001/lots/1190/update/,14:15,14:28:00,Updated,Time changed
78,https://dome-auctions.com/administration/auctions/1001/lots/1190/update/,14:15,14:15:00,Updated,Time changed
79,https://dome-auctions.com/administration/auctions/1001/lots/1191/update/,14:15,14:28:00,Updated,Time changed
80,https://dome-auctions.com/administration/auctions/1001/lots/1191/update/,14:15,14:15:00,Updated,Time changed
81,https://dome-auctions.com/administration/auctions/1001/lots/1192/update/,14:16,14:32:00,Updated,Time changed
82,https://dome-auctions.com/administration/auctions/1001/lots/1192/update/,14:16,14:16:00,Updated,Time changed
83,https://dome-auctions.com/administration/auctions/1001/lots/1193/update/,14:16,14:32:00,Updated,Time changed
84,https://dome-auctions.com/administration/auctions/1001/lots/1193/update/,14:16,14:16:00,Updated,Time changed
85,https://dome-auctions.com/administration/auctions/1001/lots/1194/update/,14:16,14:32:00,Updated,Time changed
86,https://dome-auctions.com/administration/auctions/1001/lots/1194/update/,14:17,14:16:00,Updated,Time changed
87,https://dome-auctions.com/administration/auctions/1001/lots/1195/update/,14:17,14:32:00,Updated,Time changed
88,https://dome-auctions.com/administration/auctions/1001/lots/1195/update/,14:17,14:17:00,Updated,Time changed
89,https://dome-auctions.com/administration/auctions/1001/lots/1196/update/,14:17,14:32:00,Updated,Time changed
90,https://dome-auctions.com/administration/auctions/1001/lots/1196/update/,14:17,14:17:00,Updated,Time changed
91,https://dome-auctions.com/administration/auctions/1001/lots/1197/update/,14:18,14:36:00,Updated,Time changed
92,https://dome-auctions.com/administration/auctions/1001/lots/1197/update/,14:18,14:18:00,Updated,Time changed
93,https://dome-auctions.com/administration/auctions/1001/lots/1198/update/,14:18,14:36:00,Updated,Time changed
94,https://dome-auctions.com/administration/auctions/1001/lots/1198/update/,14:18,14:18:00,Updated,Time changed
95,https://dome-auctions.com/administration/auctions/1001/lots/1199/update/,14:18,14:36:00,Updated,Time changed
96,https://dome-auctions.com/administration/auctions/1001/lots/1199/update/,14:19,14:18:00,Updated,Time changed
97,https://dome-auctions.com/administration/auctions/1001/lots/1200/update/,14:19,14:36:00,Updated,Time changed
98,https://dome-auctions.com/administration/auctions/1001/lots/1200/update/,14:19,14:19:00,Updated,Time changed
99,https://dome-auctions.com/administration/auctions/1001/lots/1201/update/,14:19,14:36:00,Updated,Time changed
100,https://dome-auctions.com/administration/auctions/1001/lots/1201/update/,14:19,14:19:00,Updated,Time changed
101,https://dome-auctions.com/administration/auctions/1001/lots/1202/update/,14:20,14:40:00,Updated,Time changed
102,https://dome-auctions.com/administration/auctions/1001/lots/1202/update/,14:20,14:20:00,Updated,Time changed
103,https://dome-auctions.com/administration/auctions/1001/lots/1203/update/,14:20,14:40:00,Updated,Time changed
104,https://dome-auctions.com/administration/auctions/1001/lots/1203/update/,14:20,14:20:00,Updated,Time changed
105,https://dome-auctions.com/administration/auctions/1001/lots/1204/update/,14:20,14:40:00,Updated,Time changed
106,https://dome-auctions.com/administration/auctions/1001/lots/1204/update/,14:21,14:20:00,Updated,Time changed
107,https://dome-auctions.com/administration/auctions/1001/lots/1205/update/,14:21,14:40:00,Updated,Time changed
108,https://dome-auctions.com/administration/auctions/1001/lots/1205/update/,14:21,14:21:00,Updated,Time changed
109,https://dome-auctions.com/administration/auctions/1001/lots/1206/update/,14:21,14:40:00,Updated,Time changed
110,https://dome-auctions.com/administration/auctions/1001/lots/1206/update/,14:21,14:21:00,Updated,Time changed
111,https://dome-auctions.com/administration/auctions/1001/lots/1207/update/,14:22,14:44:00,Updated,Time changed
112,https://dome-auctions.com/administration/auctions/1001/lots/1207/update/,14:22,14:22:00,Updated,Time changed
113,https://dome-auctions.com/administration/auctions/1001/lots/1208/update/,14:22,14:44:00,Updated,Time changed
114,https://dome-auctions.com/administration/auctions/1001/lots/1208/update/,14:22,14:22:00,Updated,Time changed
115,https://dome-auctions.com/administration/auctions/1001/lots/1209/update/,14:22,14:44:00,Updated,Time changed
116,https://dome-auctions.com/administration/auctions/1001/lots/1209/update/,14:23,14:22:00,Updated,Time changed
117,https://dome-auctions.com/administration/auctions/1001/lots/1210/update/,14:23,14:44:00,Updated,Time changed
118,https://dome-auctions.com/administration/auctions/1001/lots/1210/update/,14:23,14:23:00,Updated,Time changed
119,https://dome-auctions.com/administration/auctions/1001/lots/1211/update/,14:23,14:44:00,Updated,Time changed
120,https://dome-auctions.com/administration/auctions/1001/lots/1211/update/,14:23,14:23:00,Updated,Time changed
121,https://dome-auctions.com/administration/auctions/1001/lots/1212/update/,14:24,14:48:00,Updated,Time changed
122,https://dome-auctions.com/administration/auctions/1001/lots/1212/update/,14:24,14:24:00,Updated,Time changed
123,https://dome-auctions.com/administration/auctions/1001/lots/1213/update/,14:24,14:48:00,Updated,Time changed
124,https://dome-auctions.com/administration/auctions/1001/lots/1213/update/,14:24,14:24:00,Updated,Time changed
125,https://dome-auctions.com/administration/auctions/1001/lots/1214/update/,14:24,14:48:00,Updated,Time changed
126,https://dome-auctions.com/administration/auctions/1001/lots/1214/update/,14:25,14:24:00,Updated,Time changed
127,https://dome-auctions.com/administration/auctions/1001/lots/1215/update/,14:25,14:48:00,Updated,Time changed
128,https://dome-auctions.com/administration/auctions/1001/lots/1215/update/,14:25,14:25:00,Updated,Time changed
129,https://dome-auctions.com/administration/auctions/1001/lots/1216/update/,14:25,14:48:00,Updated,Time changed
130,https://dome-auctions.com/administration/auctions/1001/lots/1216/update/,14:25,14:25:00,Updated,Time changed
131,https://dome-auctions.com/administration/auctions/1001/lots/1217/update/,14:26,14:52:00,Updated,Time changed
132,https://dome-auctions.com/administration/auctions/1001/lots/1217/update/,14:26,14:26:00,Updated,Time changed
133,https://dome-auctions.com/administration/auctions/1001/lots/1218/update/,14:26,14:52:00,Updated,Time changed
134,https://dome-auctions.com/administration/auctions/1001/lots/1218/update/,14:26,14:26:00,Updated,Time changed
135,https://dome-auctions.com/administration/auctions/1001/lots/1219/update/,14:26,14:52:00,Updated,Time changed
136,https://dome-auctions.com/administration/auctions/1001/lots/1219/update/,14:27,14:26:00,Updated,Time changed
137,https://dome-auctions.com/administration/auctions/1001/lots/1220/update/,14:27,14:52:00,Updated,Time changed
138,https://dome-auctions.com/administration/auctions/1001/lots/1220/update/,14:27,14:27:00,Updated,Time changed
139,https://dome-auctions.com/administration/auctions/1001/lots/1221/update/,14:27,14:52:00,Updated,Time changed
140,https://dome-auctions.com/administration/auctions/1001/lots/1221/update/,14:27,14:27:00,Updated,Time changed
141,https://dome-auctions.com/administration/auctions/1001/lots/1222/update/,14:28,14:56:00,Updated,Time changed
142,https://dome-auctions.com/administration/auctions/1001/lots/1222/update/,14:28,14:28:00,Updated,Time changed
143,https://dome-auctions.com/administration/auctions/1001/lots/1223/update/,14:28,14:56:00,Updated,Time changed
144,https://dome-auctions.com/administration/auctions/1001/lots/1223/update/,14:28,14:28:00,Updated,Time changed
145,https://dome-auctions.com/administration/auctions/1001/lots/1224/update/,14:28,14:56:00,Updated,Time changed
146,https://dome-auctions.com/administration/auctions/1001/lots/1224/update/,14:29,14:28:00,Updated,Time changed
147,https://dome-auctions.com/administration/auctions/1001/lots/1225/update/,14:29,14:56:00,Updated,Time changed
148,https://dome-auctions.com/administration/auctions/1001/lots/1225/update/,14:29,14:29:00,Updated,Time changed
149,https://dome-auctions.com/administration/auctions/1001/lots/1226/update/,14:29,14:56:00,Updated,Time changed
150,https://dome-auctions.com/administration/auctions/1001/lots/1226/update/,14:29,14:29:00,Updated,Time changed
151,https://dome-auctions.com/administration/auctions/1001/lots/1227/update/,14:30,15:00:00,Updated,Time changed
152,https://dome-auctions.com/administration/auctions/1001/lots/1227/update/,14:30,14:30:00,Updated,Time changed
153,https://dome-auctions.com/administration/auctions/1001/lots/1228/update/,14:30,15:00:00,Updated,Time changed
154,https://dome-auctions.com/administration/auctions/1001/lots/1228/update/,14:30,14:30:00,Updated,Time changed
155,https://dome-auctions.com/administration/auctions/1001/lots/1229/update/,14:30,15:00:00,Updated,Time changed
156,https://dome-auctions.com/administration/auctions/1001/lots/1229/update/,14:31,14:30:00,Updated,Time changed
157,https://dome-auctions.com/administration/auctions/1001/lots/1230/update/,14:31,15:00:00,Updated,Time changed
158,https://dome-auctions.com/administration/auctions/1001/lots/1230/update/,14:31,14:31:00,Updated,Time changed
159,https://dome-auctions.com/administration/auctions/1001/lots/1231/update/,14:31,15:00:00,Updated,Time changed
160,https://dome-auctions.com/administration/auctions/1001/lots/1231/update/,14:31,14:31:00,Updated,Time changed
161,https://dome-auctions.com/administration/auctions/1001/lots/1232/update/,14:32,15:04:00,Updated,Time changed
162,https://dome-auctions.com/administration/auctions/1001/lots/1232/update/,14:32,14:32:00,Updated,Time changed
163,https://dome-auctions.com/administration/auctions/1001/lots/1233/update/,14:32,15:04:00,Updated,Time changed
164,https://dome-auctions.com/administration/auctions/1001/lots/1233/update/,14:32,14:32:00,Updated,Time changed
165,https://dome-auctions.com/administration/auctions/1001/lots/1234/update/,14:32,15:04:00,Updated,Time changed
166,https://dome-auctions.com/administration/auctions/1001/lots/1234/update/,14:33,14:32:00,Updated,Time changed
167,https://dome-auctions.com/administration/auctions/1001/lots/1235/update/,14:33,15:04:00,Updated,Time changed
168,https://dome-auctions.com/administration/auctions/1001/lots/1235/update/,14:33,14:33:00,Updated,Time changed
169,https://dome-auctions.com/administration/auctions/1001/lots/1236/update/,14:33,15:04:00,Updated,Time changed
170,https://dome-auctions.com/administration/auctions/1001/lots/1236/update/,14:33,14:33:00,Updated,Time changed
171,https://dome-auctions.com/administration/auctions/1001/lots/1237/update/,14:34,15:08:00,Updated,Time changed
172,https://dome-auctions.com/administration/auctions/1001/lots/1237/update/,14:34,14:34:00,Updated,Time changed
173,https://dome-auctions.com/administration/auctions/1001/lots/1238/update/,14:34,15:08:00,Updated,Time changed
174,https://dome-auctions.com/administration/auctions/1001/lots/1238/update/,14:34,14:34:00,Updated,Time changed
175,https://dome-auctions.com/administration/auctions/1001/lots/1239/update/,14:34,15:08:00,Updated,Time changed
176,https://dome-auctions.com/administration/auctions/1001/lots/1239/update/,14:35,14:34:00,Updated,Time changed
177,https://dome-auctions.com/administration/auctions/1001/lots/1240/update/,14:35,15:08:00,Updated,Time changed
178,https://dome-auctions.com/administration/auctions/1001/lots/1240/update/,14:35,14:35:00,Updated,Time changed
179,https://dome-auctions.com/administration/auctions/1001/lots/1241/update/,14:35,15:08:00,Updated,Time changed
180,https://dome-auctions.com/administration/auctions/1001/lots/1241/update/,14:35,14:35:00,Updated,Time changed
181,https://dome-auctions.com/administration/auctions/1001/lots/1242/update/,14:36,15:12:00,Updated,Time changed
182,https://dome-auctions.com/administration/auctions/1001/lots/1242/update/,14:36,14:36:00,Updated,Time changed
183,https://dome-auctions.com/administration/auctions/1001/lots/1243/update/,14:36,15:12:00,Updated,Time changed
184,https://dome-auctions.com/administration/auctions/1001/lots/1243/update/,14:36,14:36:00,Updated,Time changed
185,https://dome-auctions.com/administration/auctions/1001/lots/1244/update/,14:36,15:12:00,Updated,Time changed
186,https://dome-auctions.com/administration/auctions/1001/lots/1244/update/,14:37,14:36:00,Updated,Time changed
187,https://dome-auctions.com/administration/auctions/1001/lots/1245/update/,14:37,15:12:00,Updated,Time changed
188,https://dome-auctions.com/administration/auctions/1001/lots/1245/update/,14:37,14:37:00,Updated,Time changed
189,https://dome-auctions.com/administration/auctions/1001/lots/1246/update/,14:37,15:12:00,Updated,Time changed
190,https://dome-auctions.com/administration/auctions/1001/lots/1246/update/,14:37,14:37:00,Updated,Time changed
191,https://dome-auctions.com/administration/auctions/1001/lots/1247/update/,14:38,15:16:00,Updated,Time changed
192,https://dome-auctions.com/administration/auctions/1001/lots/1247/update/,14:38,14:38:00,Updated,Time changed
193,https://dome-auctions.com/administration/auctions/1001/lots/1248/update/,14:38,15:16:00,Updated,Time changed
194,https://dome-auctions.com/administration/auctions/1001/lots/1248/update/,14:38,14:38:00,Updated,Time changed
195,https://dome-auctions.com/administration/auctions/1001/lots/1249/update/,14:38,15:16:00,Updated,Time changed
196,https://dome-auctions.com/administration/auctions/1001/lots/1249/update/,14:39,14:38:00,Updated,Time changed
197,https://dome-auctions.com/administration/auctions/1001/lots/1250/update/,14:39,15:16:00,Updated,Time changed
198,https://dome-auctions.com/administration/auctions/1001/lots/1250/update/,14:39,14:39:00,Updated,Time changed
199,https://dome-auctions.com/administration/auctions/1001/lots/1251/update/,14:39,15:16:00,Updated,Time changed
200,https://dome-auctions.com/administration/auctions/1001/lots/1251/update/,14:39,14:39:00,Updated,Time changed
201,https://dome-auctions.com/administration/auctions/1001/lots/1252/update/,14:40,15:20:00,Updated,Time changed
202,https://dome-auctions.com/administration/auctions/1001/lots/1252/update/,14:40,14:40:00,Updated,Time changed
203,https://dome-auctions.com/administration/auctions/1001/lots/1253/update/,14:40,15:20:00,Updated,Time changed
204,https://dome-auctions.com/administration/auctions/1001/lots/1253/update/,14:40,14:40:00,Updated,Time changed
205,https://dome-auctions.com/administration/auctions/1001/lots/1254/update/,14:40,15:20:00,Updated,Time changed
206,https://dome-auctions.com/administration/auctions/1001/lots/1254/update/,14:41,14:40:00,Updated,Time changed
207,https://dome-auctions.com/administration/auctions/1001/lots/1255/update/,14:41,15:20:00,Updated,Time changed
208,https://dome-auctions.com/administration/auctions/1001/lots/1255/update/,14:41,14:41:00,Updated,Time changed
209,https://dome-auctions.com/administration/auctions/1001/lots/1256/update/,14:41,15:20:00,Updated,Time changed
210,https://dome-auctions.com/administration/auctions/1001/lots/1256/update/,14:41,14:41:00,Updated,Time changed
211,https://dome-auctions.com/administration/auctions/1001/lots/1257/update/,14:42,15:24:00,Updated,Time changed
212,https://dome-auctions.com/administration/auctions/1001/lots/1257/update/,14:42,14:42:00,Updated,Time changed
213,https://dome-auctions.com/administration/auctions/1001/lots/1258/update/,14:42,15:24:00,Updated,Time changed
214,https://dome-auctions.com/administration/auctions/1001/lots/1258/update/,14:42,14:42:00,Updated,Time changed
215,https://dome-auctions.com/administration/auctions/1001/lots/1259/update/,14:42,15:24:00,Updated,Time changed
216,https://dome-auctions.com/administration/auctions/1001/lots/1259/update/,14:43,14:42:00,Updated,Time changed
217,https://dome-auctions.com/administration/auctions/1001/lots/1260/update/,14:43,15:24:00,Updated,Time changed
218,https://dome-auctions.com/administration/auctions/1001/lots/1260/update/,14:43,14:43:00,Updated,Time changed
219,https://dome-auctions.com/administration/auctions/1001/lots/1261/update/,14:43,15:24:00,Updated,Time changed
220,https://dome-auctions.com/administration/auctions/1001/lots/1261/update/,14:43,14:43:00,Updated,Time changed
221,https://dome-auctions.com/administration/auctions/1001/lots/1262/update/,14:44,15:28:00,Updated,Time changed
222,https://dome-auctions.com/administration/auctions/1001/lots/1262/update/,14:44,14:44:00,Updated,Time changed
223,https://dome-auctions.com/administration/auctions/1001/lots/1263/update/,14:44,15:28:00,Updated,Time changed
224,https://dome-auctions.com/administration/auctions/1001/lots/1263/update/,14:44,14:44:00,Updated,Time changed
225,https://dome-auctions.com/administration/auctions/1001/lots/1264/update/,14:44,15:28:00,Updated,Time changed
226,https://dome-auctions.com/administration/auctions/1001/lots/1264/update/,14:45,14:44:00,Updated,Time changed
227,https://dome-auctions.com/administration/auctions/1001/lots/1265/update/,14:45,15:28:00,Updated,Time changed
228,https://dome-auctions.com/administration/auctions/1001/lots/1265/update/,14:45,14:45:00,Updated,Time changed
229,https://dome-auctions.com/administration/auctions/1001/lots/1266/update/,14:45,15:28:00,Updated,Time changed
230,https://dome-auctions.com/administration/auctions/1001/lots/1266/update/,14:45,14:45:00,Updated,Time changed
231,https://dome-auctions.com/administration/auctions/1001/lots/1267/update/,14:46,15:32:00,Updated,Time changed
232,https://dome-auctions.com/administration/auctions/1001/lots/1267/update/,14:46,14:46:00,Updated,Time changed
233,https://dome-auctions.com/administration/auctions/1001/lots/1268/update/,14:46,15:32:00,Updated,Time changed
234,https://dome-auctions.com/administration/auctions/1001/lots/1268/update/,14:46,14:46:00,Updated,Time changed
235,https://dome-auctions.com/administration/auctions/1001/lots/1269/update/,14:46,15:32:00,Updated,Time changed
236,https://dome-auctions.com/administration/auctions/1001/lots/1269/update/,14:47,14:46:00,Updated,Time changed
237,https://dome-auctions.com/administration/auctions/1001/lots/1270/update/,14:47,15:32:00,Updated,Time changed
238,https://dome-auctions.com/administration/auctions/1001/lots/1270/update/,14:47,14:47:00,Updated,Time changed
239,https://dome-auctions.com/administration/auctions/1001/lots/1271/update/,14:47,15:32:00,Updated,Time changed
240,https://dome-auctions.com/administration/auctions/1001/lots/1271/update/,14:47,14:47:00,Updated,Time changed
241,https://dome-auctions.com/administration/auctions/1001/lots/1272/update/,14:48,15:36:00,Updated,Time changed
242,https://dome-auctions.com/administration/auctions/1001/lots/1272/update/,14:48,14:48:00,Updated,Time changed
243,https://dome-auctions.com/administration/auctions/1001/lots/1273/update/,14:48,15:36:00,Updated,Time changed
244,https://dome-auctions.com/administration/auctions/1001/lots/1273/update/,14:48,14:48:00,Updated,Time changed
245,https://dome-auctions.com/administration/auctions/1001/lots/1274/update/,14:48,15:36:00,Updated,Time changed
246,https://dome-auctions.com/administration/auctions/1001/lots/1274/update/,14:49,14:48:00,Updated,Time changed
247,https://dome-auctions.com/administration/auctions/1001/lots/1275/update/,14:49,15:36:00,Updated,Time changed
248,https://dome-auctions.com/administration/auctions/1001/lots/1275/update/,14:49,14:49:00,Updated,Time changed
249,https://dome-auctions.com/administration/auctions/1001/lots/1276/update/,14:49,15:36:00,Updated,Time changed
250,https://dome-auctions.com/administration/auctions/1001/lots/1276/update/,14:49,14:49:00,Updated,Time changed
251,https://dome-auctions.com/administration/auctions/1001/lots/1277/update/,14:50,15:40:00,Updated,Time changed
252,https://dome-auctions.com/administration/auctions/1001/lots/1277/update/,14:50,14:50:00,Updated,Time changed
253,https://dome-auctions.com/administration/auctions/1001/lots/1278/update/,14:50,15:40:00,Updated,Time changed
254,https://dome-auctions.com/administration/auctions/1001/lots/1278/update/,14:50,14:50:00,Updated,Time changed
255,https://dome-auctions.com/administration/auctions/1001/lots/1279/update/,14:50,15:40:00,Updated,Time changed
256,https://dome-auctions.com/administration/auctions/1001/lots/1279/update/,14:51,14:50:00,Updated,Time changed
257,https://dome-auctions.com/administration/auctions/1001/lots/1280/update/,14:51,15:40:00,Updated,Time changed
258,https://dome-auctions.com/administration/auctions/1001/lots/1280/update/,14:51,14:51:00,Updated,Time changed
259,https://dome-auctions.com/administration/auctions/1001/lots/1281/update/,14:51,15:40:00,Updated,Time changed
260,https://dome-auctions.com/administration/auctions/1001/lots/1281/update/,14:51,14:51:00,Updated,Time changed
261,https://dome-auctions.com/administration/auctions/1001/lots/1282/update/,14:52,15:44:00,Updated,Time changed
262,https://dome-auctions.com/administration/auctions/1001/lots/1282/update/,14:52,14:52:00,Updated,Time changed
263,https://dome-auctions.com/administration/auctions/1001/lots/1283/update/,14:52,15:44:00,Updated,Time changed
264,https://dome-auctions.com/administration/auctions/1001/lots/1283/update/,14:52,14:52:00,Updated,Time changed
265,https://dome-auctions.com/administration/auctions/1001/lots/1284/update/,14:52,15:44:00,Updated,Time changed
266,https://dome-auctions.com/administration/auctions/1001/lots/1284/update/,14:53,14:52:00,Updated,Time changed
267,https://dome-auctions.com/administration/auctions/1001/lots/1285/update/,14:53,15:44:00,Updated,Time changed
268,https://dome-auctions.com/administration/auctions/1001/lots/1285/update/,14:53,14:53:00,Updated,Time changed
269,https://dome-auctions.com/administration/auctions/1001/lots/1286/update/,14:53,15:44:00,Updated,Time changed
270,https://dome-auctions.com/administration/auctions/1001/lots/1286/update/,14:53,14:53:00,Updated,Time changed
271,https://dome-auctions.com/administration/auctions/1001/lots/1287/update/,14:54,15:48:00,Updated,Time changed
272,https://dome-auctions.com/administration/auctions/1001/lots/1287/update/,14:54,14:54:00,Updated,Time changed
273,https://dome-auctions.com/administration/auctions/1001/lots/1288/update/,14:54,15:48:00,Updated,Time changed
